location,latitude,longitude,area,bhk,bathrooms,parking,property_age,furnishing,property_type,price,city,source_id
Sector 84 Gurgaon,28.4035469,76.9677894,3000.0,4,4.0,,2,Semifurnished,Apartment,26300000.0,Gurgaon,O71585872
Sector 81 Gurgaon,28.3873647,76.9475835,1700.0,4,4.0,,1,Semifurnished,Apartment,36000000.0,Gurgaon,T71585466
Sector 112 Gurgaon,28.5203402,77.0188612,1650.0,3,3.0,,1,Semifurnished,Apartment,38500000.0,Gurgaon,I71493958
Sector 104 Gurgaon,28.4795324,76.9937197,1650.0,3,4.0,,1,Semifurnished,Apartment,19500000.0,Gurgaon,X71361930
Sector 74 Gurgaon,28.4110081,77.0101209,1650.0,2,2.0,,6,Semifurnished,Apartment,16200000.0,Gurgaon,N71483500
Sector 60 Gurgaon,28.3985617,77.0978276,3080.0,4,4.0,,1,Semifurnished,Apartment,75000000.0,Gurgaon,O71457806
Sector 74 Gurgaon,28.4110081,77.0101209,1650.0,2,2.0,,6,Semifurnished,Apartment,16000000.0,Gurgaon,Q71448502
Sector 66 Gurgaon,28.3974292,77.0538823,1480.0,3,3.0,,1,Semifurnished,Apartment,35000000.0,Gurgaon,W71402126
Sector 110 Gurgaon,28.5069625,77.018321,1650.0,5,5.0,,1,Semifurnished,Apartment,45000000.0,Gurgaon,K71391282
Sector 109 Gurgaon,28.5109205,77.0065956,1650.0,3,4.0,,1,Semifurnished,Apartment,15500000.0,Gurgaon,P71385634
Sector 102 Gurgaon,28.4754872,76.9711747,1650.0,3,3.0,,1,Unknown,Apartment,19000000.0,Gurgaon,F71384484
Sector 102 Gurgaon,28.4754872,76.9711747,1650.0,3,4.0,,1,Semifurnished,Apartment,19000000.0,Gurgaon,C71371666
Sector 65 Gurgaon,28.4030162,77.0695893,1212.0,3,4.0,,1,Semifurnished,Apartment,49500000.0,Gurgaon,B71355440
Sector 102 Gurgaon,28.4754872,76.9711747,1650.0,2,2.0,,1,Semifurnished,Apartment,13000000.0,Gurgaon,F71345938
Sector 37D Gurgaon,28.4480039,76.9697682,950.0,3,3.0,,5,Semifurnished,Independent/Builder Floor,11500000.0,Gurgaon,B71337288
Sector 113 Gurgaon,28.5286649,77.0250282,1150.0,3,3.0,,5,Semifurnished,Apartment,21000000.0,Gurgaon,G71332316
Sector 66 Gurgaon,28.3974292,77.0538823,2200.0,4,5.0,,1,Semifurnished,Apartment,63500000.0,Gurgaon,N71331694
Sector 111 Gurgaon,28.5222773,77.0336203,2200.0,3,3.0,,6,Unfurnished,Apartment,35600000.0,Gurgaon,S71308068
Sector 111 Gurgaon,28.5222773,77.0336203,1650.0,3,3.0,,6,Unfurnished,Apartment,22500000.0,Gurgaon,M71307858
Sector 65 Gurgaon,28.4030162,77.0695893,2010.0,3,3.0,,1,Semifurnished,Apartment,61000000.0,Gurgaon,J71302006
Sector 62 Gurgaon,28.407697,77.0823781,1296.93,3,3.0,,6,Semifurnished,Apartment,42500000.0,Gurgaon,B71275270
Sector 60 Gurgaon,28.3985617,77.0978276,1289.0,3,4.0,,1,Semifurnished,Apartment,31000000.0,Gurgaon,M71275018
Sector 60 Gurgaon,28.3985617,77.0978276,1650.0,2,2.0,,1,Semifurnished,Apartment,22000000.0,Gurgaon,X71210406
Sector 113 Gurgaon,28.5286649,77.0250282,1650.0,3,3.0,,5,Unfurnished,Independent House/Villa,16600000.0,Gurgaon,Q71170468
Sector 57 Gurgaon,28.4232478,77.0804487,1650.0,4,4.0,,6,Semifurnished,Independent/Builder Floor,24500000.0,Gurgaon,R71147264
Sector 57 Gurgaon,28.4232478,77.0804487,1650.0,4,4.0,,6,Semifurnished,Independent/Builder Floor,25000000.0,Gurgaon,Z71147146
Sector 57 Gurgaon,28.4232478,77.0804487,1650.0,4,4.0,,6,Semifurnished,Independent/Builder Floor,24000000.0,Gurgaon,V71146718
Sector 57 Gurgaon,28.4232478,77.0804487,1650.0,3,3.0,,6,Semifurnished,Independent/Builder Floor,17000000.0,Gurgaon,A71145714
Sector 57 Gurgaon,28.4232478,77.0804487,1650.0,3,3.0,,6,Semifurnished,Independent/Builder Floor,19500000.0,Gurgaon,F71145042
Sector 57 Gurgaon,28.4232478,77.0804487,1650.0,4,4.0,,6,Semifurnished,Independent/Builder Floor,33000000.0,Gurgaon,G71144798
Sector 59 Gurgaon,28.4030162,77.1066682,1650.0,3,4.0,,1,Semifurnished,Apartment,42500000.0,Gurgaon,M71105344
