city,max-bedroom,min-bathroom,max-bathroom,min-carpet-area,max-carpet-area,min-total-area,max-total-area,property-type,facing,overlooking,parking,balcony,min-price,max-price,Furniture,Land Deed,Registry
Delhi,3,2,5,1227,2888,1739,3008,Apartment,South,Garden,Yes,Yes,4188150,36665097,Yes,Yes,Registered
Ghaziabad,1,4,1,1437,2057,1669,3547,Apartment,South,Main Road,No,Yes,4535728,31287483,Yes,Yes,Registered
Gurgaon,4,2,3,942,1694,1636,3774,Villa,Northeast,None,No,No,6366344,21994255,Yes,Yes,Registered
Faridabad,4,2,5,571,2575,1001,2567,Studio,North,Garden,Yes,Yes,7213932,30721837,No,Yes,Registered
Delhi,4,1,4,943,2608,1147,2931,Villa,Southeast,Pool,Yes,No,6738483,48903695,Yes,Yes,Registered
Delhi,2,4,5,678,2630,1048,3970,Independent House,Northwest,None,No,No,2851671,44069669,Yes,Yes,Not Registered
Faridabad,5,1,5,1186,2563,1453,2695,Apartment,Southwest,Main Road,Yes,Yes,2211269,45201053,No,Yes,Registered
Ghaziabad,5,3,4,1444,2869,1034,2536,Independent House,Northwest,Garden,Yes,No,3578489,14361564,No,Yes,Registered
Faridabad,2,1,5,959,1613,1553,3766,Studio,Southeast,Pool,No,Yes,9616410,35516964,Yes,Yes,Registered
Faridabad,3,4,5,1089,1733,1131,2042,Apartment,South,Garden,No,No,3825956,24721517,Yes,Yes,Registered
Gurgaon,3,2,1,531,2788,1464,2603,Apartment,Southeast,None,No,No,7236405,13965852,Yes,Yes,Registered
Ghaziabad,3,1,3,1287,1534,1214,2003,Studio,Southeast,None,Yes,Yes,8820889,26313693,Yes,Yes,Registered
Delhi,3,3,5,970,1598,1921,3095,Apartment,Southeast,Garden,No,No,6354413,44383092,Yes,Yes,Registered
Gurgaon,2,1,3,864,2542,1212,2364,Independent House,Northwest,Garden,No,Yes,8127326,23233774,No,Yes,Not Registered
Ghaziabad,3,1,3,763,2284,1403,3858,Studio,North,Garden,Yes,Yes,6105045,43680765,Yes,Yes,Registered
Ghaziabad,1,3,5,1098,2545,1310,3046,Independent House,East,Main Road,Yes,Yes,6937467,28133712,Yes,Yes,Registered
Noida,4,2,5,1049,2253,1022,2342,Studio,Southwest,Main Road,No,No,7198682,24522392,Yes,Yes,Registered
