Name,Price,property,status,floor,transaction,facing,overlooking,ownership,bathroom,balcony,city,location,Rate_per_sqft,bedroom,total_area,year,Registry,Land Deed,Furniture
"4 BHK Flat for Sale in Vasant Vihar, New Delhi",85000000,Parnami Infra,Ready to Move,2 out of 4,Resale,North - East,Garden/Park,Freehold,5,3,Delhi, Vasant Vihar,21250,4,4000,2000,Registered,Yes,Yes
"4 BHK Flat for Sale in Sushant Lok-I, Sector 43, Gurgaon",26500000,Dolphin Real Estates,Ready to Move,Ground out of 4,New Property,North - West,Main Road,Freehold,4,3,Gurgaon, Sushant Lok-I,9815,4,2699.949058,2000,Registered,Yes,Yes
"3 BHK Flat for Sale in DLF City Phase 2, Gurgaon",29500000,The Unique Realty,Ready to Move,1 out of 4,New Property,North,"Garden/Park, Main Road",Freehold,3,2,Gurgaon, DLF City Phase 2,15245,3,1935.060676,2000,Registered,Yes,Yes
"3 BHK Flat for Sale in Rohini Sector 24, New Delhi",12100000,Iconic Realty,Ready to Move,1 out of 4,New Property,North - East,Garden/Park,Freehold,2,1,Delhi, Rohini Sector 24,10083,3,1200.039671,2000,Registered,Yes,Yes
"3 BHK Flat for Sale in Rohini Sector 8, New Delhi",25000000,Synergy Real Estates,Ready to Move,2 out of 4,New Property,East,Garden/Park,Leasehold,3,1,Delhi, Rohini Sector 8,31250,3,800,2000,Not Registered,No,No
"3 BHK Flat for Sale in CRC Joyous, Techzone 4, Greater Noida",12700000,Essbee Realtors,Poss. by Dec '23,6 out of 26,New Property,North,"Garden/Park, Main Road",Freehold,3,4,Noida, CRC Joyous,8063,3,1575.096118,2000,Registered,Yes,Yes
"3 BHK Flat for Sale in Godrej Nature Plus, Sohna Sector 33, Gurgaon",13500000,Investors Home,Poss. by Sep '23,3 out of 3,New Property,South,Main Road,Freehold,3,3,Gurgaon, Godrej Nature Plus,8671,3,1556.913851,2000,Registered,Yes,No
"4 BHK Flat for Sale in Luxury Builder Floors, Sushant Lok-I, Sector 43, Gurgaon",35000000,Temple Homes Pvt. Ltd.,Ready to Move,2 out of 4,New Property,North,"Garden/Park, Pool",Freehold,4,4,Gurgaon, Luxury Builder Floors,12963,4,2699.992286,2000,Registered,No,Yes
"5 BHK Flat for Sale in Experion Windchants, Dwarka Expressway, Gurgaon",87500000,Shanti Property,Ready to Move,25 out of 25,Resale,West,"Pool, Garden/Park, Main Road",Freehold,6,6,Gurgaon, Experion Windchants,10276,5,8514.986376,2000,Registered,Yes,Yes
"4 BHK Flat for Sale in DLF City Plot Phase 1, DLF City Phase 1, Gurgaon",54900000,Makaan Search Realty,Ready to Move,1 out of 4,New Property,North - East,Garden/Park,Freehold,5,2,Gurgaon, DLF City Plot Phase 1,15250,4,3600,2000,Not Registered,No,Yes
"4 BHK Flat for Sale in Uppal Southend, Sector 49, Sohna Road, Gurgaon",19900000,Worth It Realtors,Ready to Move,4 out of 4,New Property,North,Garden/Park,Freehold,4,2,Gurgaon, Uppal Southend,6633,4,3000.150761,2000,Registered,Yes,Yes
"4 BHK Flat for Sale in Pioneer Presidia, Golf course Extension Road, Gurgaon",71500000,Miglani Realtors ,Ready to Move,7 out of 21,Resale,East,Main Road,Freehold,3,3,Gurgaon, Pioneer Presidia,16486,4,4337.013223,2000,Registered,Yes,Yes
"4 BHK Flat for Sale in Vipul World, Sector 48, Gurgaon",31000000,GRAHA PRAVESH,Ready to Move,3 out of 4,New Property,North,"Garden/Park, Main Road",Freehold,4,5,Gurgaon, Vipul World,6889,4,4499.927421,2000,Registered,Yes,Yes
"5 BHK Villa for Sale in Emaar MGF Marbella, Sector 66 Gurgaon",120000000,Dash Services,Ready to Move,Ground out of 4,Resale,North - East,"Garden/Park, Main Road",Freehold,6,2,Gurgaon, Emaar MGF Marbella,18405,5,6519.9674,2000,Not Registered,Yes,Yes
"4 BHK Flat for Sale in Luxury Floors, DLF City Phase 2, Gurgaon",57500000,House 2 Home Realty ,Ready to Move,2 out of 4,New Property,North - West,Garden/Park,Freehold,4,2,Gurgaon, Luxury Floors,12727,4,4517.953956,2000,Registered,No,Yes
"4 BHK Flat for Sale in DLF City Phase 2, Gurgaon",41000000,Amethyst Landbase LLP,Ready to Move,1 out of 4,Resale,North - East,Garden/Park,Freehold,4,4,Gurgaon, DLF City Phase 2,14416,4,2844.062153,2000,Not Registered,No,Yes
"4 BHK Flat for Sale in Uppal Southend, Sector 49, Gurgaon",19500000,Proporigin Estate,Ready to Move,4 out of 4,New Property,West,Garden/Park,Leasehold,4,5,Gurgaon, Uppal Southend,6500,4,3000,2000,Registered,Yes,No
"4 BHK Flat for Sale in Defence Colony, New Delhi",82500000,Investin PRO Realtech Pvt. Ltd.,Poss. by Dec '23,2 out of 4,New Property,North,Garden/Park,Freehold,5,2,Delhi, Defence Colony,33093,4,2492.974345,2000,Registered,Yes,Yes
"5 BHK Flat for Sale in Nirala Aspire Phase 4, Sector 16, Greater Noida",21500000,Garg Associates,Poss. by Jun '24,12 out of 19,New Property,East,"Garden/Park, Pool, Main Road",Freehold,5,2,Noida, Nirala Aspire Phase 4,6808,5,3158.049354,2000,Registered,Yes,No
